x,y,z,labels
16.368937,7.991103,11.597978,15
14.518213,9.69343,11.2122965,9
14.452211,5.8183656,11.389359,-1
14.520005,9.645815,10.7085905,-1
15.148476,6.4381285,10.816982,-1
13.808792,6.580379,10.801042,-1
16.445677,7.9666686,11.636154,15
16.1353,7.684219,11.3785925,-1
15.201032,9.372176,10.089986,-1
14.589079,5.808093,12.078262,-1
14.317355,8.331239,9.074899,5
15.402579,9.270431,11.618835,7
13.15883,8.228193,11.426737,0
15.783993,8.407287,9.641602,11
15.973909,8.8791895,11.129237,18
14.957213,6.2607207,11.313582,-1
15.517373,8.835215,11.207323,18
14.935955,8.607644,11.531372,8
15.648357,6.097304,10.764866,6
14.473491,9.030012,10.304524,10
14.093644,7.8873863,10.424191,4
14.838486,8.67143,11.867331,8
13.925303,9.261603,10.965743,9
14.983,9.283898,9.838068,-1
15.611666,8.882368,10.800236,18
15.81023,8.407674,10.990415,18
16.139622,7.6327214,10.524622,-1
15.301752,5.5798464,10.515958,-1
14.713695,8.630823,9.068633,-1
14.545329,6.861107,11.311344,-1
15.213393,7.2642198,9.953399,-1
13.91328,7.8429427,10.379999,4
14.920605,7.799388,9.298902,-1
13.517518,6.233717,9.998401,-1
14.089072,9.304327,11.133336,9
14.103215,9.222145,11.035385,9
14.88731,6.1702805,11.321553,-1
15.540282,8.989841,10.9430895,18
15.004615,5.5977182,11.765684,13
15.205065,7.228069,11.543181,-1
14.611998,9.321676,11.132519,9
13.192938,7.8823614,11.337987,0
13.144265,8.186108,11.333161,0
13.877249,9.1647835,10.906087,9
16.447332,8.089621,9.783848,-1
14.979355,9.146786,9.929475,-1
13.569392,5.9735675,9.606245,12
14.073894,6.087796,10.623745,-1
14.438071,9.624493,11.156896,9
13.74468,6.622095,11.420757,2
13.925616,6.073649,10.942776,-1
15.192332,9.323512,10.9035845,-1
14.218834,8.997602,10.665466,-1
14.592826,9.042501,9.488951,-1
13.76959,5.7728,9.603929,12
15.29607,8.592162,9.258953,-1
15.226251,6.278343,9.648171,-1
16.074991,7.9945183,9.932601,-1
15.142313,8.992377,10.433721,-1
15.9943075,8.02384,9.7169075,-1
14.59283,8.910452,11.598551,-1
13.8146305,5.7737346,9.59222,12
14.710833,7.322772,9.219918,5
16.11743,8.461496,10.073998,11
14.629478,6.935842,10.055965,-1
15.782654,7.048718,9.3597145,-1
14.659694,5.176174,10.6425,14
14.393273,8.741037,10.103475,10
14.439501,5.9714293,11.874807,-1
15.305557,5.538565,11.154061,-1
15.734049,6.985626,9.371862,-1
14.738281,5.458859,10.293755,14
15.064862,5.4609494,12.258045,13
16.405722,7.858714,11.631935,15
14.303951,7.682393,10.044555,-1
14.292927,6.7948585,9.735316,5
14.768046,8.712332,11.82603,8
14.020491,7.8969626,9.840962,-1
14.806429,5.5363483,10.182864,14
15.626777,5.917317,10.87645,6
14.480033,9.064168,11.136576,9
14.879893,8.73037,11.844547,8
14.725722,5.8332834,12.162431,-1
14.510693,5.676487,11.278652,-1
14.50178,9.101401,10.368425,10
15.26262,7.6805053,9.935038,-1
