x,y,z,labels
-0.13302645,12.838505,8.597036,19
0.72019255,11.198787,8.96497,14
3.4920564,12.100753,10.243726,-1
-0.1724599,12.353977,8.506672,19
1.8797297,14.187939,9.244943,-1
2.368233,13.015537,9.595768,-1
2.9183772,13.856217,8.674881,9
1.7394018,12.800183,10.45783,-1
2.105947,13.710744,8.975441,-1
3.4340081,11.682429,10.729146,-1
0.3493519,12.6211,8.338423,-1
2.3670528,14.172077,9.288044,-1
-0.14931329,11.745906,9.352636,20
3.5367618,12.544121,9.901805,-1
3.0951445,12.581279,9.184546,4
4.2504253,12.30236,10.228607,0
2.5262973,12.928079,8.280286,-1
0.9115458,13.763955,8.615338,-1
2.1938078,14.173398,8.842495,-1
0.97221965,13.210104,8.29985,-1
0.8392523,13.43578,8.356271,-1
3.145334,11.988972,10.314604,7
3.2948031,11.623057,9.915292,-1
3.5105405,12.492973,9.134422,4
2.9545426,12.720117,10.061336,-1
3.2378008,11.5357485,9.846344,-1
0.5889678,11.853721,9.283268,20
2.474768,13.071694,10.1521635,-1
2.9942358,11.9875145,10.496717,7
2.5477004,11.710813,8.193743,3
3.1961339,11.968266,10.311159,7
3.3516934,11.710405,10.054042,-1
0.8053668,13.521105,8.190737,-1
2.115377,10.519735,11.426308,2
-0.29103145,12.0646515,8.651885,-1
3.0776978,12.415129,9.939948,6
2.218878,10.554517,11.392565,2
3.516588,12.431356,9.049307,4
1.6181054,12.663705,7.8600745,-1
2.0248725,10.990879,9.067557,-1
2.2774,12.4245615,11.178358,7
2.3219457,11.648873,9.199228,3
2.9986193,14.125371,8.912716,9
1.4030759,12.948385,10.045875,-1
2.2455425,10.567301,11.584157,2
2.8899152,13.834468,8.71039,9
2.9102483,13.820911,8.6717615,9
2.1733427,11.857709,10.621508,-1
1.893496,13.825356,9.299469,-1
2.2411346,11.683156,9.103293,3
2.2114856,13.671678,9.491798,16
2.7464564,12.299165,10.868445,7
1.6796134,11.903397,8.197654,-1
2.1432042,10.542559,11.259555,2
1.1024656,11.333479,8.057638,10
1.3426293,13.395467,7.9302564,22
1.0702242,13.9428425,8.531238,12
2.9286785,12.094351,10.043541,-1
2.5585759,11.733702,10.147712,-1
2.7027206,13.686833,8.668096,9
2.4208238,10.775562,11.29157,2
0.5025542,13.801337,8.812205,13
2.1881495,12.96432,9.3954525,-1
0.5243447,12.275997,9.002498,-1
0.62114716,12.3043375,8.05949,-1
1.4262161,13.633148,8.236552,-1
2.875523,12.558776,9.50563,-1
2.4379609,12.047504,7.83657,3
2.3985407,11.711726,8.520261,3
0.5914244,13.232236,8.872635,-1
0.7337873,11.855319,8.022922,-1
1.4926409,13.309661,8.082645,22
1.0715735,12.274275,9.678751,-1
3.182382,12.422435,10.037393,-1
0.92945015,13.214193,7.6895494,21
0.1556717,12.045771,8.618142,-1
0.26283833,12.950211,9.249555,-1
2.2103617,11.849623,10.58983,-1
1.4282519,11.138966,9.1114025,-1
2.4020696,13.455927,9.130833,-1
1.214656,11.783346,9.569888,11
0.8417388,11.837763,10.032494,-1
2.2026424,12.037414,10.479792,-1
2.3168075,13.181561,8.584247,-1
2.3302312,13.896575,8.93462,-1
3.1389108,10.988199,8.416984,1
2.9590344,13.555642,8.514775,9
3.0912225,12.544168,9.901581,-1
0.6438517,13.50804,8.874424,13
3.0922236,11.076818,8.394284,1
3.2298837,12.524517,9.307187,4
2.4906824,12.036463,11.0049925,7
-0.09977081,11.721654,9.343922,20
1.0014172,11.337861,8.022601,10
2.8552403,12.215547,9.795987,6
2.3002162,13.634765,8.327117,-1
2.32128,13.321371,8.419112,-1
-0.043159895,11.749998,9.297871,20
1.3931164,13.535832,8.357638,-1
1.7229306,12.889199,10.241078,-1
2.2176468,10.539819,11.55044,2
0.51187366,13.065907,8.10169,-1
2.6397824,11.9352255,7.94748,3
3.5482376,12.285046,9.606167,-1
3.4987319,12.31141,9.54781,-1
1.6595381,13.914263,8.868534,-1
3.0359256,13.858538,9.227468,-1
2.867662,11.783391,8.429244,3
0.06330436,12.482615,9.706537,-1
0.5852107,11.451974,8.900837,14
0.7374835,13.137358,9.568537,5
1.6185428,12.891229,9.149383,8
2.952329,12.6108465,10.174687,-1
2.905934,12.654767,10.072218,-1
2.1418235,12.96427,10.318915,-1
1.350812,12.474632,10.407035,-1
1.0173974,11.977298,10.05634,-1
0.52959114,12.555156,8.062656,-1
2.4007108,11.393631,11.145753,-1
2.0352151,10.394052,11.571248,2
2.0781846,11.915964,8.398845,3
1.9474506,13.133527,10.249702,-1
2.0740104,10.465216,11.588315,2
2.4888299,11.352592,9.540645,3
2.355708,11.5177555,10.734945,-1
-0.07714227,12.642809,8.644595,19
0.0018558997,12.617128,8.341454,19
1.7569546,12.880459,9.838807,8
0.025964698,12.689745,9.352701,19
0.22208561,12.783105,9.421416,-1
0.028387366,12.455694,9.6650305,-1
-0.127575,12.395139,9.390589,-1
2.0393956,12.638688,10.611497,-1
1.9098217,11.870319,11.138968,7
1.3534737,12.790682,8.821797,-1
-0.0130293695,12.600809,8.495654,19
2.4244757,13.441033,9.935069,-1
1.7929329,13.399258,8.551617,-1
1.0764103,13.151505,7.6893315,21
1.3860022,13.466939,7.897977,22
0.71311116,13.19035,9.58653,5
3.1784654,11.754104,10.780229,7
1.2483585,11.78036,8.369439,-1
0.73226815,13.5991535,8.287662,-1
2.7117558,11.602973,8.592221,3
0.74874854,13.036855,9.182072,-1
0.514354,11.899186,9.389372,20
2.4807227,13.824657,9.638393,16
2.2923706,13.688307,8.412698,-1
1.5051099,12.364135,9.3054285,-1
0.35047102,11.934464,9.319123,20
0.44343042,12.098804,8.89944,17
2.0773997,13.668312,9.38061,-1
2.3829043,11.783515,11.29735,7
1.8646232,14.13049,9.3170805,-1
1.1644212,13.5358925,8.576694,-1
-0.17728704,11.814554,8.798676,-1
3.116264,11.848073,10.466543,7
2.4082644,12.102731,8.675153,3
3.0226045,11.758675,9.397874,-1
1.7758944,11.889147,8.642512,3
2.941196,12.273603,10.577536,7
1.374674,13.421248,7.8679576,22
2.810678,11.661204,8.353413,3
1.0793078,11.389928,8.150856,10
2.5653446,12.252357,8.404114,3
0.58364856,13.916212,8.810953,-1
3.048988,12.420604,10.7145195,7
